epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2989,0.80699,4.08073,0.95056,0.01578,0.4,0.1959,0.1597,0.93777,3.87743,0.92468,8.888e-05,8.888e-05,8.888e-05
2,79.1318,0.79423,2.56535,0.93697,0.01529,0.5,0.20701,0.16516,0.96051,3.46272,0.89987,0.000186533,0.000186533,0.000186533
3,114.063,0.76539,1.84125,0.91516,1,0.11499,0.23457,0.17641,0.94892,3.27032,0.8926,0.000281711,0.000281711,0.000281711
4,149.727,0.77788,1.59752,0.89313,1,0.1286,0.2196,0.16162,1.06472,3.23753,0.93458,0.000374414,0.000374414,0.000374414
5,185.119,0.7605,1.41366,0.93413,1,0.14471,0.47009,0.32352,0.98329,3.09653,0.93321,0.000464642,0.000464642,0.000464642
6,221.071,0.77359,1.3429,0.92419,1,0.15042,0.75924,0.54743,0.99518,2.89205,0.9389,0.000552396,0.000552396,0.000552396
7,257.337,0.80892,1.37272,0.93775,1,0.15029,0.87327,0.6187,0.96497,2.73013,0.94802,0.000637675,0.000637675,0.000637675
8,293.82,0.75908,1.21586,0.91767,1,0.12624,0.86682,0.54232,1.0523,2.65653,1.00187,0.000720479,0.000720479,0.000720479
9,329.172,0.77409,1.15909,0.91713,1,0.35793,0.78923,0.5541,0.93878,2.29205,0.98124,0.000800809,0.000800809,0.000800809
10,366.441,0.78454,1.094,0.91011,0.99132,0.56255,0.79917,0.53468,1.00343,2.01912,1.0025,0.000878664,0.000878664,0.000878664
11,401.435,0.75351,1.02101,0.92498,0.89672,0.85089,0.995,0.65346,0.98647,1.60983,1.00635,0.000954043,0.000954043,0.000954043
12,437.002,0.7398,1.01521,0.92342,0.91086,0.93808,0.995,0.69911,0.96467,1.3113,1.01348,0.000959765,0.000959765,0.000959765
13,472.626,0.7279,0.94684,0.90288,0.85827,0.92416,0.995,0.63839,1.05756,1.41762,1.01861,0.000946016,0.000946016,0.000946016
14,508.122,0.76727,1.094,0.93422,0.87605,0.98815,0.995,0.69486,0.93054,1.20835,1.02766,0.000932268,0.000932268,0.000932268
15,543.332,0.76497,0.92954,0.91961,0.91298,0.90449,0.995,0.63411,1.11934,1.28175,1.12143,0.000918519,0.000918519,0.000918519
16,577.326,0.73195,0.97666,0.92546,0.92211,0.96905,0.995,0.65949,0.97213,1.14156,1.03074,0.000904771,0.000904771,0.000904771
17,610.223,0.69705,0.87464,0.91856,0.9122,0.97533,0.995,0.61773,1.04371,1.1081,1.06883,0.000891022,0.000891022,0.000891022
18,643.137,0.73654,0.90927,0.92119,0.98303,0.98064,0.995,0.61487,1.00391,1.09476,1.03346,0.000877273,0.000877273,0.000877273
19,676.482,0.72842,0.87746,0.92252,0.93707,0.98464,0.995,0.60934,1.03595,1.06734,1.04388,0.000863525,0.000863525,0.000863525
20,709.695,0.68413,0.80763,0.90091,0.94706,0.98518,0.995,0.67803,0.96608,0.96636,1.03442,0.000849776,0.000849776,0.000849776
21,742.585,0.73861,0.8788,0.93182,0.97759,0.9843,0.995,0.64365,1.03825,0.90441,1.06725,0.000836027,0.000836027,0.000836027
22,775.479,0.7576,0.85293,0.9239,0.95111,1,0.995,0.71533,0.93832,0.94388,1.02962,0.000822279,0.000822279,0.000822279
23,808.662,0.70612,0.8185,0.91523,0.96421,0.99041,0.995,0.64238,1.04033,0.94754,1.07595,0.00080853,0.00080853,0.00080853
24,841.564,0.6775,0.7873,0.90932,0.89956,0.99356,0.995,0.63353,1.02618,0.9392,1.05979,0.000794782,0.000794782,0.000794782
25,874.473,0.67149,0.78259,0.90392,0.96138,0.98253,0.995,0.60234,1.1248,0.93341,1.12215,0.000781033,0.000781033,0.000781033
26,907.517,0.67767,0.73967,0.90198,0.92137,0.99613,0.995,0.67072,1.07605,0.89173,1.10244,0.000767284,0.000767284,0.000767284
27,940.795,0.65312,0.71705,0.8944,0.87477,0.98302,0.995,0.63789,1.0627,0.94291,1.118,0.000753536,0.000753536,0.000753536
28,973.547,0.65255,0.75985,0.89754,0.92485,0.87682,0.96167,0.67,0.98064,0.92526,1.05007,0.000739787,0.000739787,0.000739787
29,1006.19,0.66085,0.73508,0.89462,0.96581,0.97318,0.995,0.65439,1.0239,0.83299,1.06758,0.000726038,0.000726038,0.000726038
30,1039.49,0.64947,0.70667,0.91363,0.97372,0.975,0.995,0.65602,1.03784,0.80693,1.10413,0.00071229,0.00071229,0.00071229
31,1072.63,0.63025,0.73101,0.90313,0.96523,0.96025,0.995,0.65256,1.00684,0.8054,1.10071,0.000698541,0.000698541,0.000698541
32,1106.63,0.64373,0.69323,0.9018,0.97043,0.9743,0.995,0.66812,0.96864,0.79846,1.07628,0.000684793,0.000684793,0.000684793
33,1139.68,0.66492,0.73344,0.92078,0.9712,0.97653,0.995,0.69831,0.91727,0.77702,1.04739,0.000671044,0.000671044,0.000671044
34,1172.51,0.64159,0.69301,0.91069,0.95616,0.97247,0.995,0.65272,0.98488,0.80626,1.07776,0.000657295,0.000657295,0.000657295
35,1205.85,0.61877,0.65945,0.88203,0.97264,0.98209,0.995,0.70271,0.94572,0.74789,1.05622,0.000643547,0.000643547,0.000643547
36,1238.85,0.60745,0.65126,0.87581,0.9789,0.97135,0.995,0.60473,1.19787,0.81173,1.18506,0.000629798,0.000629798,0.000629798
37,1272.09,0.65605,0.70547,0.91973,0.97017,0.98065,0.995,0.68136,0.95247,0.73809,1.05493,0.000616049,0.000616049,0.000616049
38,1304.56,0.66766,0.66885,0.90728,0.95739,0.97873,0.995,0.66332,0.95524,0.72933,1.07331,0.000602301,0.000602301,0.000602301
39,1338.3,0.6386,0.66259,0.91949,0.97657,0.97943,0.995,0.61268,1.07497,0.73092,1.13773,0.000588552,0.000588552,0.000588552
40,1371.39,0.63529,0.64056,0.89828,0.98116,0.97679,0.995,0.66127,1.01147,0.71415,1.10488,0.000574804,0.000574804,0.000574804
41,1404.25,0.60294,0.65915,0.90006,0.97917,0.97141,0.995,0.6538,1.02785,0.71226,1.12739,0.000561055,0.000561055,0.000561055
42,1437.14,0.60475,0.62305,0.88711,0.96763,0.97443,0.995,0.63982,1.05413,0.77357,1.1422,0.000547306,0.000547306,0.000547306
43,1470.55,0.60358,0.62436,0.88765,0.97029,0.98861,0.995,0.69736,0.99906,0.73089,1.10254,0.000533558,0.000533558,0.000533558
44,1503.08,0.57706,0.60096,0.87856,0.97617,0.96725,0.995,0.69402,0.97574,0.70127,1.09547,0.000519809,0.000519809,0.000519809
45,1534.41,0.59795,0.60909,0.89211,0.98404,0.96959,0.995,0.70258,0.94425,0.6911,1.07273,0.00050606,0.00050606,0.00050606
46,1566.02,0.59192,0.61932,0.87254,0.98394,0.97025,0.995,0.70904,0.91686,0.66511,1.04971,0.000492312,0.000492312,0.000492312
47,1598.07,0.57,0.57556,0.87916,0.97972,0.9647,0.995,0.70008,0.91262,0.6526,1.05388,0.000478563,0.000478563,0.000478563
48,1629.74,0.61136,0.60291,0.88362,0.97387,0.9787,0.995,0.68255,0.9872,0.64893,1.09755,0.000464815,0.000464815,0.000464815
