epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9255,0.92658,4.2111,1.0265,0.00756,0.10588,0.08808,0.07393,1.04736,4.05762,0.98938,6.666e-05,6.666e-05,6.666e-05
2,21.0989,0.8874,3.26204,0.96691,0.01736,0.4,0.20288,0.16598,0.82998,3.75756,0.90003,0.000142643,0.000142643,0.000142643
3,25.2072,0.85065,1.97467,0.9532,0.99208,0.2,0.20794,0.17475,0.93977,3.41327,0.90687,0.000216701,0.000216701,0.000216701
4,29.2819,0.8692,1.62556,0.9481,1,0.15952,0.21403,0.17245,0.86,3.38235,0.88515,0.000288834,0.000288834,0.000288834
5,33.2781,0.86194,1.5839,0.9494,1,0.11175,0.22442,0.17162,0.94903,3.31655,0.91293,0.000359042,0.000359042,0.000359042
6,37.2276,0.86183,1.42172,0.9748,0.02237,0.56667,0.24417,0.20123,0.92589,3.30493,0.90997,0.000427325,0.000427325,0.000427325
7,41.5338,0.87993,1.33841,0.95716,1,0.0883,0.25338,0.21275,0.92283,3.20087,0.9187,0.000493684,0.000493684,0.000493684
8,45.5886,0.80441,1.18,0.94639,1,0.12912,0.26813,0.22878,0.91715,3.09644,0.93274,0.000558118,0.000558118,0.000558118
9,49.4817,0.82995,1.18302,0.99446,0.00811,0.83333,0.48414,0.35519,0.94983,3.30778,0.96377,0.000620627,0.000620627,0.000620627
10,53.4849,0.80185,1.11723,0.93444,1,0.13891,0.46537,0.33032,1.03991,3.00093,0.99936,0.000681211,0.000681211,0.000681211
11,57.5882,0.85273,1.0699,0.97657,1,0.1709,0.78645,0.56698,0.94546,2.64992,0.9568,0.00073987,0.00073987,0.00073987
12,61.4669,0.81961,1.064,0.95278,0.97278,0.4,0.99043,0.67059,1.00122,2.32701,0.97724,0.000796605,0.000796605,0.000796605
13,65.5976,0.84875,1.03574,0.97301,1,0.3739,0.9855,0.64126,1.06675,2.19368,0.99104,0.000851415,0.000851415,0.000851415
14,69.4511,0.8503,0.98744,0.94576,0.91253,0.57328,0.93124,0.5931,1.13193,2.02385,1.14802,0.0009043,0.0009043,0.0009043
15,73.233,0.83989,1.03137,0.96675,0.93162,0.73501,0.98133,0.62943,1.07629,1.97686,1.03665,0.000918519,0.000918519,0.000918519
16,76.9747,0.83157,0.95207,0.95391,0.89215,0.94732,0.995,0.69106,0.9475,1.50464,1.03373,0.000904771,0.000904771,0.000904771
17,81.1134,0.79536,0.91962,0.94407,0.89531,0.88819,0.995,0.69846,1.01733,1.50894,1.0923,0.000891022,0.000891022,0.000891022
18,84.9771,0.81416,0.87728,0.96392,0.91248,0.99201,0.995,0.64496,1.02895,1.46028,1.09862,0.000877273,0.000877273,0.000877273
19,88.8689,0.79519,0.88676,0.97028,0.92661,0.98791,0.995,0.67517,0.92246,1.40581,1.07456,0.000863525,0.000863525,0.000863525
20,92.7159,0.79171,0.85346,0.97887,0.88832,0.96077,0.995,0.66499,1.01235,1.21239,1.08364,0.000849776,0.000849776,0.000849776
21,96.5893,0.7752,0.85801,0.94459,0.86603,0.96626,0.995,0.62666,1.03712,1.19864,1.10896,0.000836027,0.000836027,0.000836027
22,100.756,0.7494,0.81935,0.93833,0.93944,0.90781,0.995,0.65582,0.98667,1.04747,1.09675,0.000822279,0.000822279,0.000822279
23,104.679,0.77659,0.80704,0.95301,0.96765,0.97328,0.995,0.68293,0.952,0.96797,1.09641,0.00080853,0.00080853,0.00080853
24,108.504,0.74954,0.82821,0.93197,0.83705,0.98694,0.9785,0.62975,1.05427,1.03556,1.14358,0.000794782,0.000794782,0.000794782
25,112.516,0.74455,0.79906,0.94716,0.9771,0.93468,0.995,0.65589,1.05886,0.9953,1.13991,0.000781033,0.000781033,0.000781033
26,116.619,0.72416,0.75765,0.9321,0.96008,0.92936,0.995,0.68614,0.9695,0.87197,1.11235,0.000767284,0.000767284,0.000767284
27,120.425,0.74034,0.78571,0.93812,0.90544,1,0.995,0.64821,1.01119,0.91542,1.14254,0.000753536,0.000753536,0.000753536
28,124.642,0.71136,0.7527,0.94566,0.98331,1,0.995,0.69535,0.95995,0.86818,1.12049,0.000739787,0.000739787,0.000739787
29,129.01,0.7279,0.7553,0.94379,0.93144,0.98813,0.995,0.72021,0.89876,0.82903,1.08339,0.000726038,0.000726038,0.000726038
30,133.573,0.71152,0.71816,0.9265,0.9595,0.97139,0.995,0.72169,0.89301,0.82399,1.08633,0.00071229,0.00071229,0.00071229
31,137.916,0.74131,0.73384,0.93333,0.94697,0.99563,0.995,0.73552,0.88978,0.88891,1.01743,0.000698541,0.000698541,0.000698541
32,142.244,0.73415,0.73181,0.94626,0.93731,1,0.995,0.72557,0.90494,0.80513,1.03658,0.000684793,0.000684793,0.000684793
33,146.742,0.73464,0.69749,0.92961,0.97065,0.97612,0.995,0.73014,0.87861,0.77124,1.03578,0.000671044,0.000671044,0.000671044
34,151.078,0.72716,0.6775,0.92685,0.96489,0.98549,0.995,0.71202,0.87517,0.73983,1.06661,0.000657295,0.000657295,0.000657295
35,155.53,0.6811,0.64007,0.94138,0.97113,0.97927,0.995,0.70834,0.85663,0.73482,1.06798,0.000643547,0.000643547,0.000643547
36,159.969,0.68674,0.6577,0.91634,0.95006,0.93725,0.995,0.67532,0.95679,0.82009,1.11689,0.000629798,0.000629798,0.000629798
37,164.419,0.69925,0.6887,0.9449,0.90677,0.97307,0.995,0.6881,0.97084,0.7788,1.12563,0.000616049,0.000616049,0.000616049
38,168.725,0.66372,0.61324,0.91924,0.9694,0.97123,0.99378,0.64009,0.98136,0.76276,1.13414,0.000602301,0.000602301,0.000602301
39,173.121,0.67135,0.64915,0.90794,0.96793,0.9903,0.995,0.64483,0.95975,0.75716,1.11855,0.000588552,0.000588552,0.000588552
40,177.424,0.68086,0.63914,0.92769,0.92885,0.93525,0.98987,0.68555,0.91597,0.7661,1.08458,0.000574804,0.000574804,0.000574804
41,181.744,0.67666,0.5972,0.91441,0.87752,0.98995,0.99044,0.68284,0.93987,0.74485,1.09166,0.000561055,0.000561055,0.000561055
42,185.855,0.68592,0.60228,0.92055,0.91932,0.9678,0.99378,0.65859,0.95152,0.72956,1.11002,0.000547306,0.000547306,0.000547306
43,190.363,0.63922,0.61294,0.90116,0.92198,0.98743,0.995,0.65159,0.95975,0.71076,1.10649,0.000533558,0.000533558,0.000533558
44,194.677,0.66278,0.60842,0.91789,0.94267,0.96638,0.995,0.70031,0.93671,0.685,1.09571,0.000519809,0.000519809,0.000519809
45,198.969,0.65282,0.56449,0.9078,0.94362,0.99892,0.99244,0.66693,0.98874,0.73937,1.118,0.00050606,0.00050606,0.00050606
46,203.379,0.66683,0.5797,0.90644,0.91263,1,0.92867,0.61369,1.00069,0.69445,1.11318,0.000492312,0.000492312,0.000492312
47,207.458,0.68324,0.60845,0.93699,0.91397,0.98099,0.96167,0.62081,1.00445,0.689,1.12001,0.000478563,0.000478563,0.000478563
