epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5123,0.94974,4.34805,1.02167,0.00135,0.13651,0.04875,0.04248,1.09552,4.2638,1.01498,5.454e-05,5.454e-05,5.454e-05
2,20.7634,0.88351,3.92444,0.9489,0.0118,0.42857,0.18789,0.15563,0.89473,4.01388,0.91779,0.000116708,0.000116708,0.000116708
3,24.7808,0.87511,2.9142,0.92197,0.01379,0.54762,0.17305,0.13156,0.92992,3.87314,0.90588,0.0001773,0.0001773,0.0001773
4,28.7823,0.8857,2.42494,0.92935,0.01399,0.57143,0.17166,0.13568,0.88611,3.75141,0.89836,0.000236318,0.000236318,0.000236318
5,32.6596,0.86739,2.19542,0.92338,0.01425,0.54762,0.1933,0.16339,0.83138,3.6659,0.89066,0.000293762,0.000293762,0.000293762
6,36.655,0.85812,1.96981,0.93671,0.01402,0.59524,0.24988,0.20145,0.83126,3.58127,0.89396,0.00034963,0.00034963,0.00034963
7,40.6863,0.87002,1.83219,0.9175,0.01144,0.7381,0.29132,0.23595,0.8516,3.51753,0.89672,0.000403923,0.000403923,0.000403923
8,44.7585,0.78471,1.65417,0.92053,0.00799,0.80952,0.38585,0.29917,0.86676,3.31352,0.94344,0.000456642,0.000456642,0.000456642
9,48.6287,0.84786,1.67782,0.94055,0.0062,0.83333,0.51613,0.35194,0.90762,3.44732,0.94382,0.000507786,0.000507786,0.000507786
10,52.5649,0.80536,1.49221,0.90382,0.72958,0.17469,0.60906,0.4648,0.92849,3.11714,1.01883,0.000557354,0.000557354,0.000557354
11,56.4821,0.8775,1.46207,0.95476,0.72303,0.39992,0.65737,0.47901,0.89146,3.14017,1.00956,0.000605349,0.000605349,0.000605349
12,60.4214,0.83151,1.43097,0.93617,0.88812,0.25474,0.80235,0.58069,0.9597,2.8406,1.06757,0.000651768,0.000651768,0.000651768
13,64.4104,0.85963,1.3637,0.94721,0.72438,0.33931,0.71283,0.49738,1.0497,2.70223,1.08469,0.000696612,0.000696612,0.000696612
14,68.4524,0.81418,1.22676,0.91448,0.86533,0.54378,0.95176,0.65861,1.0611,2.47165,1.06543,0.000739882,0.000739882,0.000739882
15,72.2685,0.8262,1.25225,0.95522,0.77772,0.45352,0.83615,0.57821,1.03131,2.31683,1.0666,0.000751516,0.000751516,0.000751516
16,76.3777,0.8279,1.16684,0.93313,0.80513,0.83137,0.88365,0.58605,1.06551,2.09288,1.07062,0.000740267,0.000740267,0.000740267
17,80.3776,0.78062,1.14712,0.92305,0.77663,0.81105,0.87477,0.61462,0.97682,2.04716,1.07115,0.000729018,0.000729018,0.000729018
18,84.9461,0.7937,1.0529,0.91781,0.88911,0.90375,0.99024,0.71182,1.08533,1.54171,1.1342,0.000717769,0.000717769,0.000717769
19,89.6958,0.81026,1.05138,0.95591,0.88749,0.92063,0.98112,0.68492,1.0866,1.80235,1.18239,0.00070652,0.00070652,0.00070652
