epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2625,0.79618,4.2783,0.96849,0.00241,0.08235,0.083,0.06927,1.11061,4.26264,1.0211,5.454e-05,5.454e-05,5.454e-05
2,19.4182,0.81855,3.48725,0.93729,0.02372,0.3,0.19958,0.15913,0.99891,3.93744,0.94205,0.000116708,0.000116708,0.000116708
3,23.376,0.70671,2.21887,0.87358,0.02735,0.46667,0.20524,0.16805,1.01051,3.74699,0.92116,0.0001773,0.0001773,0.0001773
4,27.2812,0.75673,1.7188,0.88259,0.0315,0.56667,0.27981,0.1848,0.97011,3.75643,0.91531,0.000236318,0.000236318,0.000236318
5,30.9738,0.7422,1.59128,0.88316,0.03163,0.53333,0.27369,0.19896,1.00156,3.70307,0.92398,0.000293762,0.000293762,0.000293762
6,34.6733,0.74477,1.38718,0.91174,0.02363,0.63333,0.27413,0.19955,0.99264,3.62558,0.92692,0.00034963,0.00034963,0.00034963
7,38.7185,0.74958,1.23505,0.88047,0.01363,0.76667,0.40237,0.26692,1.02989,3.53591,0.97305,0.000403923,0.000403923,0.000403923
8,42.5399,0.69359,1.14239,0.8875,1,0.05039,0.48728,0.33238,0.94034,3.38651,0.96367,0.000456642,0.000456642,0.000456642
9,46.1379,0.70749,1.14577,0.87978,1,0.04671,0.59363,0.40451,0.95888,3.35295,0.97926,0.000507786,0.000507786,0.000507786
10,50.3462,0.72545,1.08247,0.88682,1,0.05797,0.59146,0.42666,0.92373,3.32085,0.97728,0.000557354,0.000557354,0.000557354
11,54.8056,0.7342,1.05217,0.90148,1,0.03413,0.80369,0.54339,0.92171,3.17274,0.96804,0.000605349,0.000605349,0.000605349
12,58.9279,0.68808,1.04554,0.89681,1,0.09805,0.97653,0.65101,0.93038,2.91111,0.97205,0.000651768,0.000651768,0.000651768
13,63.1758,0.69659,1.01938,0.90559,1,0.27729,0.94945,0.62287,1.01139,2.60324,1.00433,0.000696612,0.000696612,0.000696612
14,67.6033,0.69037,0.91501,0.87002,0.99878,0.60964,0.995,0.66814,1.03873,2.11958,1.06412,0.000739882,0.000739882,0.000739882
15,71.9144,0.70096,0.9472,0.90767,0.93934,0.72217,0.93211,0.70727,0.93685,2.08706,1.00676,0.000751516,0.000751516,0.000751516
16,76.2439,0.69073,0.90825,0.88881,0.92311,0.82396,0.94728,0.6816,1.01631,1.73549,1.07407,0.000740267,0.000740267,0.000740267
17,80.4181,0.66971,0.85698,0.89095,0.93413,0.89916,0.995,0.70228,0.92578,1.60751,1.0171,0.000729018,0.000729018,0.000729018
18,84.502,0.66278,0.86654,0.87524,0.93301,0.88772,0.995,0.64805,1.05326,1.45328,1.06554,0.000717769,0.000717769,0.000717769
19,88.7995,0.67068,0.843,0.88788,0.90982,0.90249,0.995,0.61922,1.07381,1.31202,1.08698,0.00070652,0.00070652,0.00070652
20,93.0183,0.67292,0.82827,0.88594,0.89706,1,0.995,0.65583,0.98312,1.2033,1.0324,0.000695271,0.000695271,0.000695271
21,97.294,0.69793,0.8494,0.88868,0.91159,0.95762,0.99043,0.62974,0.99943,1.22096,1.05247,0.000684022,0.000684022,0.000684022
22,101.534,0.66437,0.83245,0.88583,0.93109,0.96943,0.995,0.6478,1.01901,1.06814,1.07495,0.000672774,0.000672774,0.000672774
23,105.573,0.6551,0.76802,0.87312,0.96344,0.97975,0.995,0.64773,1.01023,1.03588,1.08031,0.000661525,0.000661525,0.000661525
24,109.849,0.66895,0.81289,0.89123,0.93394,0.96088,0.995,0.56482,1.15827,1.0936,1.13598,0.000650276,0.000650276,0.000650276
25,114.194,0.62476,0.74249,0.86516,0.89321,0.99239,0.995,0.55106,1.17202,0.9748,1.14036,0.000639027,0.000639027,0.000639027
26,118.512,0.61051,0.72443,0.86396,0.94524,1,0.995,0.57944,1.0921,0.97084,1.10762,0.000627778,0.000627778,0.000627778
27,122.889,0.62876,0.7315,0.8749,0.94574,0.99843,0.995,0.57596,1.09674,1.01986,1.10271,0.000616529,0.000616529,0.000616529
28,127.319,0.61692,0.73426,0.87442,0.93256,0.99044,0.995,0.6767,0.9605,0.91084,1.04227,0.00060528,0.00060528,0.00060528
29,131.407,0.62108,0.71684,0.86925,0.95922,0.99317,0.995,0.64074,0.99826,0.85668,1.05765,0.000594031,0.000594031,0.000594031
30,135.903,0.63262,0.70247,0.89791,0.96266,0.97012,0.995,0.59502,1.09534,0.87602,1.12125,0.000582783,0.000582783,0.000582783
31,140.177,0.66978,0.74206,0.88638,0.9753,0.98514,0.995,0.69015,0.90925,0.83457,1.01763,0.000571534,0.000571534,0.000571534
32,144.429,0.65059,0.7461,0.88686,0.95338,0.97349,0.995,0.67376,0.98528,0.85465,1.0509,0.000560285,0.000560285,0.000560285
33,148.739,0.66947,0.75375,0.88033,0.94481,0.94362,0.995,0.60009,1.1308,0.86791,1.12023,0.000549036,0.000549036,0.000549036
34,153.03,0.62939,0.67556,0.86329,0.98387,0.95026,0.995,0.65055,1.02875,0.79615,1.07372,0.000537787,0.000537787,0.000537787
35,157.404,0.61589,0.64589,0.87147,0.97167,0.9426,0.99043,0.60602,1.12573,0.80707,1.11664,0.000526538,0.000526538,0.000526538
36,161.643,0.60475,0.63365,0.85735,0.97241,0.93357,0.99043,0.63793,1.04726,0.79063,1.07476,0.000515289,0.000515289,0.000515289
37,165.793,0.60848,0.66908,0.86934,0.95798,0.98372,0.995,0.6748,0.98577,0.78219,1.05812,0.00050404,0.00050404,0.00050404
38,169.931,0.60992,0.64891,0.8722,0.98074,0.97922,0.995,0.65944,0.99449,0.74769,1.06164,0.000492792,0.000492792,0.000492792
39,174.255,0.61353,0.63228,0.87124,0.96778,0.99124,0.995,0.61428,1.00672,0.7447,1.05408,0.000481543,0.000481543,0.000481543
40,178.651,0.60142,0.63051,0.86038,0.96239,0.9849,0.995,0.62944,0.9891,0.77228,1.03448,0.000470294,0.000470294,0.000470294
41,182.877,0.59584,0.61159,0.85378,0.98682,0.97554,0.995,0.6229,1.03015,0.75574,1.05324,0.000459045,0.000459045,0.000459045
42,187.175,0.58975,0.60232,0.85327,0.98644,0.99078,0.995,0.63749,1.00442,0.72629,1.05529,0.000447796,0.000447796,0.000447796
